[Lanes],,,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,,,
Up Node,1,,,,,,,,,,,,,,,
Dest Node,1,,,,,,,,,,,,,,,
Lanes,1,1,1,0,1,1,1,1,2,0,1,2,0,,,
Shared,1,0,2,,0,0,0,0,2,,0,2,,,,
Width,1,,,,,,,,,,,,,,,
Storage,1,,,,,,,,,,,,,,,
Taper,1,,,,,,,,,,,,,,,
StLanes,1,,,,,,,,,,,,,,,
Grade,1,,,,,,,,,,,,,,,
Speed,1,,,,,,,,,,,,,,,
Phase1,1,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,1,2,,2,6,,6,4,,4,8,,8,,,
LostTime,1,,,,,,,,,,,,,,,
Lost Time Adjust,1,,,,,,,,,,,,,,,
IdealFlow,1,,,,,,,,,,,,,,,
SatFlow,1,,,,,,,,,,,,,,,
SatFlowPerm,1,,,,,,,,,,,,,,,
Allow RTOR,1,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,1,,,,,,,,,,,,,,,
Volume,1,,,,,,,,,,,,,,,
Peds,1,,,,,,,,,,,,,,,
Bicycles,1,,,,,,,,,,,,,,,
PHF,1,,,,,,,,,,,,,,,
Growth,1,,,,,,,,,,,,,,,
HeavyVehicles,1,,,,,,,,,,,,,,,
BusStops,1,,,,,,,,,,,,,,,
Midblock,1,,,,,,,,,,,,,,,
Distance,1,,,,,,,,,,,,,,,
TravelTime,1,,,,,,,,,,,,,,,
Right Channeled,1,,,,,,,,,,,,,,,
Alignment,1,,,,,,,,,,,,,,,
Enter Blocked,1,,,,,,,,,,,,,,,
HeadwayFact,1,,,,,,,,,,,,,,,
Turning Speed,1,,,,,,,,,,,,,,,
FirstDetect,1,,,,,,,,,,,,,,,
LastDetect,1,,,,,,,,,,,,,,,
DetectPhase1,1,,,,,,,,,,,,,,,
DetectPhase2,1,,,,,,,,,,,,,,,
DetectPhase3,1,,,,,,,,,,,,,,,
DetectPhase4,1,,,,,,,,,,,,,,,
SwitchPhase,1,,,,,,,,,,,,,,,
numDetects,1,,,,,,,,,,,,,,,
DetectPos1,1,,,,,,,,,,,,,,,
DetectSize1,1,25,50,,25,50,,25,50,,25,50,,,,
DetectType1,1,,,,,,,,,,,,,,,
DetectExtend1,1,,,,,,,,,,,,,,,
DetectQueue1,1,,,,,,,,,,,,,,,
DetectDelay1,1,,,,,,,,,,,,,,,
Exit Lanes,1,,,,,,,,,,,,,,,
CBD,1,,,,,,,,,,,,,,,
Lane Group Flow,1,,,,,,,,,,,,,,,
Up Node,2,,,,,,,,,,,,,,,
Dest Node,2,,,,,,,,,,,,,,,
Lanes,2,1,2,0,1,1,0,1,2,1,1,3,0,,,
Shared,2,0,2,,0,2,,0,0,0,0,2,,,,
Width,2,,,,,,,,,,,,,,,
Storage,2,,,,,,,,,,,,,,,
Taper,2,,,,,,,,,,,,,,,
StLanes,2,,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,
Speed,2,,,,,,,,,,,,,,,
Phase1,2,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,2,2,,2,6,,6,4,,4,8,,8,,,
LostTime,2,,,,,,,,,,,,,,,
Lost Time Adjust,2,,,,,,,,,,,,,,,
IdealFlow,2,,,,,,,,,,,,,,,
SatFlow,2,,,,,,,,,,,,,,,
SatFlowPerm,2,,,,,,,,,,,,,,,
Allow RTOR,2,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,2,,,,,,,,,,,,,,,
Volume,2,,,,,,,,,,,,,,,
Peds,2,,,,,,,,,,,,,,,
Bicycles,2,,,,,,,,,,,,,,,
PHF,2,,,,,,,,,,,,,,,
Growth,2,,,,,,,,,,,,,,,
HeavyVehicles,2,,,,,,,,,,,,,,,
BusStops,2,,,,,,,,,,,,,,,
Midblock,2,,,,,,,,,,,,,,,
Distance,2,,,,,,,,,,,,,,,
TravelTime,2,,,,,,,,,,,,,,,
Right Channeled,2,,,,,,,,,,,,,,,
Alignment,2,,,,,,,,,,,,,,,
Enter Blocked,2,,,,,,,,,,,,,,,
HeadwayFact,2,,,,,,,,,,,,,,,
Turning Speed,2,,,,,,,,,,,,,,,
FirstDetect,2,,,,,,,,,,,,,,,
LastDetect,2,,,,,,,,,,,,,,,
DetectPhase1,2,,,,,,,,,,,,,,,
DetectPhase2,2,,,,,,,,,,,,,,,
DetectPhase3,2,,,,,,,,,,,,,,,
DetectPhase4,2,,,,,,,,,,,,,,,
SwitchPhase,2,,,,,,,,,,,,,,,
numDetects,2,,,,,,,,,,,,,,,
DetectPos1,2,,,,,,,,,,,,,,,
DetectSize1,2,25,50,,25,50,,25,50,,25,50,,,,
DetectType1,2,,,,,,,,,,,,,,,
DetectExtend1,2,,,,,,,,,,,,,,,
DetectQueue1,2,,,,,,,,,,,,,,,
DetectDelay1,2,,,,,,,,,,,,,,,
Exit Lanes,2,,,,,,,,,,,,,,,
CBD,2,,,,,,,,,,,,,,,
Lane Group Flow,2,,,,,,,,,,,,,,,
Up Node,3,,,,,,,,,,,,,,,
Dest Node,3,,,,,,,,,,,,,,,
Lanes,3,,,,3,0,0,1,3,0,0,3,0,,,
Shared,3,,,,2,,0,0,0,,,2,0,,,
Width,3,,,,,,,,,,,,,,,
Storage,3,,,,,,,,,,,,,,,
Taper,3,,,,,,,,,,,,,,,
StLanes,3,,,,,,,,,,,,,,,
Grade,3,,,,,,,,,,,,,,,
Speed,3,,,,,,,,,,,,,,,
Phase1,3,,,,6,,6,7,4,,,8,,,,
PermPhase1,3,,,,,,,4,,,,,8,,,
LostTime,3,,,,,,,,,,,,,,,
Lost Time Adjust,3,,,,,,,,,,,,,,,
IdealFlow,3,,,,,,,,,,,,,,,
SatFlow,3,,,,,,,,,,,,,,,
SatFlowPerm,3,,,,,,,,,,,,,,,
Allow RTOR,3,,,,,,1,,,,,,1,,,
SatFlowRTOR,3,,,,,,,,,,,,,,,
Volume,3,,,,,,,,,,,,,,,
Peds,3,,,,,,,,,,,,,,,
Bicycles,3,,,,,,,,,,,,,,,
PHF,3,,,,,,,,,,,,,,,
Growth,3,,,,,,,,,,,,,,,
HeavyVehicles,3,,,,,,,,,,,,,,,
BusStops,3,,,,,,,,,,,,,,,
Midblock,3,,,,,,,,,,,,,,,
Distance,3,,,,,,,,,,,,,,,
TravelTime,3,,,,,,,,,,,,,,,
Right Channeled,3,,,,,,,,,,,,,,,
Alignment,3,,,,,,,,,,,,,,,
Enter Blocked,3,,,,,,,,,,,,,,,
HeadwayFact,3,,,,,,,,,,,,,,,
Turning Speed,3,,,,,,,,,,,,,,,
FirstDetect,3,,,,,,,,,,,,,,,
LastDetect,3,,,,,,,,,,,,,,,
DetectPhase1,3,,,,,,,,,,,,,,,
DetectPhase2,3,,,,,,,,,,,,,,,
DetectPhase3,3,,,,,,,,,,,,,,,
DetectPhase4,3,,,,,,,,,,,,,,,
SwitchPhase,3,,,,,,,,,,,,,,,
numDetects,3,,,,,,,,,,,,,,,
DetectPos1,3,,,,,,,,,,,,,,,
DetectSize1,3,,,,25,,,25,50,,25,50,,,,
DetectType1,3,,,,,,,,,,,,,,,
DetectExtend1,3,,,,,,,,,,,,,,,
DetectQueue1,3,,,,,,,,,,,,,,,
DetectDelay1,3,,,,,,,,,,,,,,,
Exit Lanes,3,,,,,,,,,,,,,,,
CBD,3,,,,,,,,,,,,,,,
Lane Group Flow,3,,,,,,,,,,,,,,,
Up Node,4,,,,,,,,,,,,,,,
Dest Node,4,,,,,,,,,,,,,,,
Lanes,4,1,1,1,1,1,0,1,3,0,1,2,1,,,
Shared,4,0,0,0,0,2,,0,2,,0,0,0,,,
Width,4,,,,,,,,,,,,,,,
Storage,4,,,,,,,,,,,,,,,
